player,tm,yr,V1
Álex Abrines,OKC,2019,Driving Scorer
Jaylen Adams,ATL,2019,Role Player
Steven Adams,OKC,2019,Scoring Big Man
Bam Adebayo,MIA,2019,Defensive Big Man
LaMarcus Aldridge,SAS,2019,Scoring Big Man
Grayson Allen,UTA,2019,Role Player
Jarrett Allen,BRK,2019,Scoring Big Man
Al-Farouq Aminu,POR,2019,Perimeter Wings/Defenders
Justin Anderson,ATL,2019,Role Player
Kyle Anderson,MEM,2019,Defensive Big Man
Giannis Antetokounmpo,MIL,2019,Scoring Big Man
OG Anunoby,TOR,2019,Driving Scorer
Ryan Arcidiacono,CHI,2019,Driving Scorer
Trevor Ariza,WAS,2019,Perimeter Wings/Defenders
D.J. Augustin,ORL,2019,Floor Generals
Deandre Ayton,PHO,2019,Scoring Big Man
Dwayne Bacon,CHO,2019,Driving Scorer
Marvin Bagley III,SAC,2019,Scoring Big Man
Lonzo Ball,LAL,2019,Floor Generals
Mo Bamba,ORL,2019,Defensive Big Man
J.J. Barea,DAL,2019,Floor Generals
Harrison Barnes,DAL,2019,Perimeter Wings/Defenders
Will Barton,DEN,2019,Perimeter Wings/Defenders
Keita Bates-Diop,MIN,2019,Role Player
Nicolas Batum,CHO,2019,Perimeter Wings/Defenders
Jerryd Bayless,MIN,2019,Role Player
Aron Baynes,BOS,2019,Defensive Big Man
Kent Bazemore,ATL,2019,Floor Generals
Bradley Beal,WAS,2019,Superstars
Malik Beasley,DEN,2019,Driving Scorer
Marco Belinelli,SAS,2019,Driving Scorer
Jordan Bell,GSW,2019,Defensive Big Man
DeAndre' Bembry,ATL,2019,Floor Generals
Dragan Bender,PHO,2019,Defensive Big Man
Dāvis Bertāns,SAS,2019,Driving Scorer
Patrick Beverley,LAC,2019,Perimeter Wings/Defenders
Khem Birch,ORL,2019,Defensive Big Man
Nemanja Bjelica,SAC,2019,Perimeter Wings/Defenders
Antonio Blakeney,CHI,2019,Role Player
Eric Bledsoe,MIL,2019,Superstars
Bogdan Bogdanović,SAC,2019,Perimeter Wings/Defenders
Bojan Bogdanović,IND,2019,Perimeter Wings/Defenders
Jonah Bolden,PHI,2019,Defensive Big Man
Devin Booker,PHO,2019,Superstars
Avery Bradley,LAC,2019,Role Player
Mikal Bridges,PHO,2019,Driving Scorer
Miles Bridges,CHO,2019,Driving Scorer
Isaiah Briscoe,ORL,2019,Role Player
Ryan Broekhoff,DAL,2019,Driving Scorer
Malcolm Brogdon,MIL,2019,Perimeter Wings/Defenders
Bruce Brown,DET,2019,Role Player
Jaylen Brown,BOS,2019,Perimeter Wings/Defenders
Sterling Brown,MIL,2019,Driving Scorer
Troy Brown Jr.,WAS,2019,Role Player
Jalen Brunson,DAL,2019,Driving Scorer
Thomas Bryant,WAS,2019,Defensive Big Man
Reggie Bullock,DET,2019,Perimeter Wings/Defenders
Trey Burke,NYK,2019,Floor Generals
Alec Burks,CLE,2019,Perimeter Wings/Defenders
Deonte Burton,OKC,2019,Role Player
Jimmy Butler,PHI,2019,Superstars
Bruno Caboclo,MEM,2019,Driving Scorer
José Calderón,DET,2019,Role Player
Kentavious Caldwell-Pope,LAL,2019,Driving Scorer
DeMarre Carroll,BRK,2019,Perimeter Wings/Defenders
Jevon Carter,MEM,2019,Role Player
Vince Carter,ATL,2019,Driving Scorer
Wendell Carter Jr.,CHI,2019,Defensive Big Man
Omri Casspi,MEM,2019,Defensive Big Man
Willie Cauley-Stein,SAC,2019,Scoring Big Man
Tyson Chandler,LAL,2019,Defensive Big Man
Wilson Chandler,PHI,2019,Driving Scorer
Gary Clark,HOU,2019,Driving Scorer
Ian Clark,NOP,2019,Role Player
Jordan Clarkson,CLE,2019,Perimeter Wings/Defenders
John Collins,ATL,2019,Scoring Big Man
Zach Collins,POR,2019,Defensive Big Man
Darren Collison,IND,2019,Floor Generals
Mike Conley,MEM,2019,Superstars
Pat Connaughton,MIL,2019,Driving Scorer
Quinn Cook,GSW,2019,Driving Scorer
DeMarcus Cousins,GSW,2019,Scoring Big Man
Allen Crabbe,BRK,2019,Driving Scorer
Torrey Craig,DEN,2019,Driving Scorer
Jamal Crawford,PHO,2019,Floor Generals
Jae Crowder,UTA,2019,Perimeter Wings/Defenders
Dante Cunningham,SAS,2019,Driving Scorer
Seth Curry,POR,2019,Driving Scorer
Stephen Curry,GSW,2019,Superstars
Troy Daniels,PHO,2019,Driving Scorer
Anthony Davis,NOP,2019,Scoring Big Man
Ed Davis,BRK,2019,Defensive Big Man
Dewayne Dedmon,ATL,2019,Defensive Big Man
Sam Dekker,WAS,2019,Driving Scorer
Matthew Dellavedova,CLE,2019,Floor Generals
DeMar DeRozan,SAS,2019,Superstars
Cheick Diallo,NOP,2019,Defensive Big Man
Hamidou Diallo,OKC,2019,Role Player
Gorgui Dieng,MIN,2019,Defensive Big Man
Spencer Dinwiddie,BRK,2019,Perimeter Wings/Defenders
Luka Dončić,DAL,2019,Superstars
Damyean Dotson,NYK,2019,Driving Scorer
Goran Dragić,MIA,2019,Floor Generals
Andre Drummond,DET,2019,Scoring Big Man
Jared Dudley,BRK,2019,Driving Scorer
Kris Dunn,CHI,2019,Floor Generals
Kevin Durant,GSW,2019,Superstars
Joel Embiid,PHI,2019,Scoring Big Man
James Ennis,HOU,2019,Driving Scorer
Jacob Evans,GSW,2019,Role Player
Tyreke Evans,IND,2019,Floor Generals
