player,tm,POS.,AGE,EXP,TYPE,RIGHTS,2020-2021 AAV
Chris Paul,PHX,PG,36,16,PO,,"$39,932,648 "
Kawhi Leonard,LAC,SF,30,10,PO,,"$34,379,100 "
Mike Conley,UTH,PG,33,14,UFA,Bird,"$30,521,116 "
Kyle Lowry,TOR,PG,35,15,UFA,Bird,"$30,500,000 "
DeMar DeRozan,SAS,SG,32,12,UFA,Bird,"$27,800,000 "
Otto Porter Jr.,ORL,SF,28,8,UFA,Bird,"$26,631,244 "
Victor Oladipo,HOU,SG,29,8,UFA,Bird,"$21,250,000 "
Goran Dragic,MIA,PG,35,13,CO,,"$18,000,000 "
Tim Hardaway Jr.,DAL,SG,29,8,UFA,Bird,"$17,737,500 "
Dennis Schröder,LAL,PG,28,8,UFA,Bird,"$17,500,000 "
Evan Fournier,BOS,SG,28,9,UFA,Bird,"$17,000,000 "
Danny Green,PHI,SG,34,12,UFA,Early Bird,"$15,000,000 "
Andre Iguodala,MIA,SF,37,17,CO,,"$15,000,000 "
Kelly Oubre Jr.,GSW,SF,25,6,UFA,Bird,"$15,000,000 "
James Johnson,NOP,PF,34,12,UFA,Bird,"$14,431,700 "
Cody Zeller,CHA,C,28,8,UFA,Bird,"$14,000,000 "
Will Barton,DEN,SF,30,9,UFA,Bird,"$13,250,000 "
J.J. Redick,DAL,SG,37,15,UFA,Early Bird,"$13,250,000 "
Justise Winslow,MEM,SF,25,6,CO,,"$13,000,000 "
Kelly Olynyk,HOU,PF,30,8,UFA,Bird,"$12,500,000 "
Trevor Ariza,MIA,SF,36,17,UFA,Early Bird,"$12,500,000 "
Patrick Mills,SAS,PG,33,12,UFA,Bird,"$12,000,000 "
Tony Snell,ATL,SG,29,8,UFA,Bird,"$11,500,000 "
Spencer Dinwiddie,BKN,PG,28,6,UFA,Bird,"$11,454,048 "
Dante Exum,HOU,PG,26,7,UFA,Bird,"$11,000,000 "
Josh Richardson,DAL,SG,28,6,PO,,"$10,491,264 "
Norman Powell,POR,SG,28,6,UFA,Bird,"$10,491,264 "
Paul Millsap,DEN,PF,36,15,UFA,Bird,"$10,000,000 "
Derrick Jones Jr.,POR,SF,24,5,PO,,"$9,489,450 "
Montrezl Harrell,LAL,PF,27,6,PO,,"$9,489,450 "
Serge Ibaka,LAC,C,32,12,PO,,"$9,489,450 "
Lonzo Ball,NOP,PG,23,4,RFA,Bird,"$8,367,906 "
Louis Williams,ATL,SG,34,16,UFA,Bird,"$8,000,000 "
Cristiano Felicio,CHI,PF,29,6,UFA,Bird,"$8,000,000 "
P.J. Tucker,MIL,PF,36,10,UFA,Bird,"$7,969,537 "
Derrick Rose,NYK,PG,32,13,UFA,Early Bird,"$7,500,000 "
JaMychal Green,DEN,PF,31,7,PO,,"$7,379,754 "
Doug McDermott,IND,SF,29,7,UFA,Bird,"$7,333,333 "
Robin Lopez,WAS,C,33,13,UFA,Non-Bird,"$7,300,000 "
Scott Brooks,WAS,COA,56,0,UFA,,"$7,000,000 "
Nemanja Bjelica,MIA,PF,33,6,UFA,Bird,"$6,825,000 "
Ishmael Smith,WAS,PG,33,11,UFA,Early Bird,"$6,000,000 "
Alec Burks,NYK,SG,30,10,UFA,Non-Bird,"$6,000,000 "
Avery Bradley,HOU,PG,30,11,CO,,"$5,635,000 "
Trey Lyles,SAS,PF,25,6,UFA,Early Bird,"$5,500,000 "
Lauri Markkanen,CHI,PF,24,4,RFA,Bird,"$5,097,417 "
Kris Dunn,ATL,PG,27,5,PO,,"$5,000,000 "
Daniel Theis,CHI,C,29,4,UFA,Bird,"$5,000,000 "
Nerlens Noel,NYK,C,27,8,UFA,Non-Bird,"$5,000,000 "
Mike Scott,PHI,PF,33,9,UFA,Early Bird,"$4,900,000 "
Ed Davis,MIN,C,32,11,UFA,Early Bird,"$4,886,175 "
Enes Kanter,POR,C,29,10,UFA,Early Bird,"$4,886,175 "
Richaun Holmes,SAC,C,27,6,UFA,Early Bird,"$4,886,175 "
Frank Kaminsky,PHX,C,28,6,UFA,Non-Bird,"$4,767,000 "
Garrett Temple,CHI,SG,35,11,UFA,Non-Bird,"$4,767,000 "
Elfrid Payton,NYK,PG,27,7,UFA,Non-Bird,"$4,767,000 "
Frank Ntilikina,NYK,PG,23,4,RFA,Bird,"$4,672,305 "
Denzel Valentine,CHI,SG,27,4,UFA,Bird,"$4,642,800 "
Dennis Smith Jr.,DET,PG,23,4,RFA,Bird,"$4,297,139 "
JaVale McGee,DEN,C,33,13,UFA,Bird,"$4,100,000 "
Reggie Bullock,NYK,SF,30,8,UFA,Early Bird,"$4,100,000 "
