Yr,Team,Seed,Result,Conf.
2010,ATL,3,SEMI,EC
2011,ATL,5,SEMI,EC
2012,ATL,5,FR,EC
2013,ATL,6,FR,EC
2014,ATL,8,FR,EC
2015,ATL,1,CF,EC
2016,ATL,4,SEMI,EC
2017,ATL,5,FR,EC
2021,ATL,5,CF,EC
2010,BOS,4,RunnerUp,EC
2011,BOS,3,SEMI,EC
2012,BOS,4,CF,EC
2013,BOS,7,FR,EC
2015,BOS,7,FR,EC
2016,BOS,5,FR,EC
2017,BOS,1,CF,EC
2018,BOS,2,CF,EC
2019,BOS,4,SEMI,EC
2020,BOS,3,CF,EC
2021,BOS,7,FR,EC
2013,BRK,4,FR,EC
2014,BRK,6,SEMI,EC
2015,BRK,8,FR,EC
2019,BRK,6,FR,EC
2020,BRK,7,FR,EC
2021,BRK,2,SEMI,EC
2010,CHA,7,FR,EC
2014,CHA,7,FR,EC
2016,CHA,6,FR,EC
2010,CHI,8,FR,EC
2011,CHI,1,SEMI,EC
2012,CHI,1,FR,EC
2013,CHI,5,SEMI,EC
2014,CHI,4,FR,EC
2015,CHI,3,SEMI,EC
2017,CHI,8,FR,EC
2010,CLE,1,SEMI,EC
2015,CLE,2,RunnerUp,EC
2016,CLE,1,Champ,EC
2017,CLE,2,RunnerUp,EC
2018,CLE,4,RunnerUp,EC
2010,DAL,2,FR,WC
2011,DAL,3,Champ,WC
2012,DAL,7,FR,WC
2014,DAL,8,FR,WC
2015,DAL,7,FR,WC
2016,DAL,6,FR,WC
2020,DAL,7,FR,WC
2021,DAL,5,FR,WC
2010,DEN,4,FR,WC
2011,DEN,5,FR,WC
2012,DEN,6,FR,WC
2013,DEN,3,FR,WC
2019,DEN,2,SEMI,WC
2020,DEN,3,CF,WC
2021,DEN,3,SEMI,WC
2016,DET,8,FR,EC
2019,DET,8,FR,EC
2013,GSW,6,SEMI,WC
2014,GSW,6,FR,WC
2015,GSW,1,Champ,WC
2016,GSW,1,RunnerUp,WC
2017,GSW,1,Champ,WC
2018,GSW,2,Champ,WC
2019,GSW,1,RunnerUp,WC
2013,HOU,8,FR,WC
2014,HOU,4,FR,WC
2015,HOU,2,CF,WC
2016,HOU,8,FR,WC
2017,HOU,3,SEMI,WC
2018,HOU,1,CF,WC
2019,HOU,4,SEMI,WC
2020,HOU,4,SEMI,WC
2011,IND,8,FR,EC
2012,IND,3,SEMI,EC
2013,IND,3,CF,EC
2014,IND,1,CF,EC
2016,IND,7,FR,EC
2017,IND,7,FR,EC
2018,IND,5,FR,EC
2019,IND,5,FR,EC
2020,IND,4,FR,EC
2012,LAC,5,SEMI,WC
2013,LAC,4,FR,WC
2014,LAC,3,SEMI,WC
2015,LAC,3,SEMI,WC
2016,LAC,4,FR,WC
2017,LAC,4,FR,WC
2019,LAC,8,FR,WC
2020,LAC,2,SEMI,WC
2021,LAC,4,CF,WC
2010,LAL,1,Champ,WC
2011,LAL,2,SEMI,WC
2012,LAL,3,SEMI,WC
2013,LAL,7,FR,WC
2020,LAL,1,Champ,WC
2021,LAL,7,FR,WC
2011,MEM,8,SEMI,WC
2012,MEM,4,FR,WC
2013,MEM,5,CF,WC
2014,MEM,7,FR,WC
2015,MEM,5,SEMI,WC
2016,MEM,7,FR,WC
2017,MEM,7,FR,WC
2021,MEM,8,FR,WC
2010,MIA,5,FR,EC
2011,MIA,2,RunnerUp,EC
2012,MIA,2,Champ,EC
2013,MIA,1,Champ,EC
2014,MIA,2,RunnerUp,EC
2016,MIA,3,SEMI,EC
2018,MIA,6,FR,EC
2020,MIA,5,RunnerUp,EC
2021,MIA,6,FR,EC
2010,MIL,6,FR,EC
2013,MIL,8,FR,EC
2015,MIL,6,FR,EC
2017,MIL,6,FR,EC
2018,MIL,7,FR,EC
2019,MIL,1,CF,EC
2020,MIL,1,SEMI,EC
2021,MIL,3,Champ,EC
2018,MIN,8,FR,WC
2011,NOP,7,FR,WC
2015,NOP,8,FR,WC
2018,NOP,6,SEMI,WC
2011,NYK,6,FR,EC
2012,NYK,7,FR,EC
2013,NYK,2,SEMI,EC
2021,NYK,4,FR,EC
2010,OKC,8,FR,WC
2011,OKC,4,CF,WC
2012,OKC,2,RunnerUp,WC
2013,OKC,1,SEMI,WC
2014,OKC,2,CF,WC
2016,OKC,3,CF,WC
2017,OKC,6,FR,WC
2018,OKC,4,FR,WC
2019,OKC,6,FR,WC
2020,OKC,5,FR,WC
2010,ORL,2,CF,EC
2011,ORL,4,FR,EC
2012,ORL,6,FR,EC
2019,ORL,7,FR,EC
2020,ORL,8,FR,EC
2011,PHI,7,FR,EC
2012,PHI,8,SEMI,EC
2018,PHI,3,SEMI,EC
2019,PHI,3,SEMI,EC
2020,PHI,6,FR,EC
2021,PHI,1,SEMI,EC
2010,PHO,3,CF,WC
2021,PHO,2,RunnerUp,WC
2010,POR,6,FR,WC
2011,POR,6,FR,WC
2014,POR,5,SEMI,WC
2015,POR,4,FR,WC
2016,POR,5,SEMI,WC
2017,POR,8,FR,WC
2018,POR,3,FR,WC
2019,POR,3,CF,WC
2020,POR,8,FR,WC
2021,POR,6,FR,WC
2010,SAS,4,SEMI,WC
2013,SAS,2,RunnerUp,WC
2014,SAS,1,Champ,WC
2015,SAS,6,FR,WC
2016,SAS,2,SEMI,WC
2017,SAS,2,CF,WC
2018,SAS,7,FR,WC
2019,SAS,7,FR,WC
2011,SAS,1,FR,WC
2012,SAS,1,CF,WC
2014,TOR,3,FR,EC
2015,TOR,4,FR,EC
2016,TOR,2,CF,EC
2017,TOR,3,SEMI,EC
2018,TOR,1,SEMI,EC
2019,TOR,4,Champ,EC
2020,TOR,4,SEMI,EC
2010,UTA,5,SEMI,WC
2012,UTA,8,FR,WC
2017,UTA,5,SEMI,WC
2018,UTA,5,SEMI,WC
2019,UTA,5,FR,WC
2020,UTA,6,FR,WC
2021,UTA,1,SEMI,WC
2014,WAS,5,SEMI,EC
2015,WAS,5,SEMI,EC
2017,WAS,4,SEMI,EC
2018,WAS,8,FR,EC
2021,WAS,8,FR,EC
